gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
ADI1,9.29,11.89,19.54,18.18,8.32,16.41,28.75,8.95,17.72,50.54,56.45,8.48,10.68,29.00,52.94
AC231981.1,2.60,0.69,0.69,0.00,1.66,0.70,0.44,1.32,0.87,0.60,0.00,1.34,0.54,0.40,0.00
AC108488.1,0.37,1.96,0.80,0.00,0.50,2.23,3.34,0.74,2.15,4.30,19.35,0.45,1.42,2.66,3.92
RNASEH1,8.18,7.94,11.95,4.55,17.97,13.13,26.48,11.22,10.34,31.30,27.42,6.47,7.66,18.25,17.65
RNASEH1-AS1,2.97,2.44,3.10,0.00,3.66,3.17,4.10,2.54,2.78,4.18,12.90,1.56,2.43,3.13,7.84
AC108488.3,1.86,0.73,1.26,0.00,1.50,0.94,0.99,1.38,1.02,0.96,1.61,0.89,0.84,0.95,5.88
RPS7,38.29,79.14,92.41,84.09,57.74,93.08,97.65,41.03,85.45,98.81,95.16,35.27,90.08,90.92,94.12
COLEC11,0.74,0.24,0.23,0.00,0.17,0.00,0.16,0.53,0.19,0.12,1.61,0.45,0.21,0.20,3.92
AC010907.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96
DCDC2C,1.12,0.33,0.00,0.00,0.17,0.12,0.08,0.00,0.17,0.12,0.00,0.22,0.21,0.07,0.00
AC107057.1,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.30,0.00,0.00,0.00,0.05,1.96
SILC1,0.74,0.37,0.57,0.00,2.50,1.29,0.76,1.11,0.36,0.72,3.23,3.79,1.01,0.55,5.88
NRIR,1.49,7.66,0.11,0.00,1.16,5.04,0.00,3.44,10.17,0.00,1.61,0.89,5.40,0.05,0.00
CMPK2,0.37,8.19,0.57,0.00,0.67,10.20,0.52,1.43,9.25,0.24,6.45,0.45,7.62,0.22,7.84
RSAD2,2.97,16.05,0.46,0.00,1.83,15.47,0.60,3.76,17.31,0.42,12.90,1.79,14.20,0.30,5.88
AC017076.1,0.00,0.16,0.69,0.00,0.33,0.35,3.18,0.05,0.12,8.00,1.61,1.12,0.17,4.58,0.00
RNF144A-AS1,1.49,0.33,2.18,0.00,2.83,1.17,7.51,2.06,0.31,20.31,14.52,1.12,0.34,12.66,7.84
RNF144A,24.54,20.90,19.31,11.36,42.26,34.00,45.41,26.95,12.69,70.37,59.68,25.89,24.08,44.89,49.02
AC068481.1,0.37,1.83,0.00,0.00,0.67,3.28,0.00,0.42,0.82,0.12,0.00,0.00,2.18,0.05,0.00
AC010904.2,0.37,0.12,0.11,0.00,0.33,0.00,0.72,0.26,0.02,1.31,1.61,0.00,0.04,0.70,1.96
AC013460.1,1.49,0.45,0.23,0.00,1.33,0.94,0.64,1.38,0.19,0.48,0.00,0.67,0.34,0.65,3.92
LINC01871,1.49,5.70,0.00,0.00,0.33,6.33,0.00,0.32,2.54,0.00,1.61,2.23,9.46,0.05,1.96
LINC00298,0.74,1.71,0.00,0.00,1.00,1.41,0.00,0.32,1.38,0.00,0.00,0.89,1.47,0.00,0.00
LINC00299,1.86,10.96,0.00,0.00,5.99,14.42,0.08,3.76,8.69,0.00,0.00,5.13,14.91,0.02,0.00
LINC01814,1.12,1.06,0.00,0.00,1.16,1.88,0.12,1.38,1.19,0.18,0.00,1.79,1.21,0.12,0.00
ID2-AS1,1.12,1.38,0.46,0.00,2.33,1.99,1.87,1.69,0.92,1.97,1.61,2.46,0.84,0.65,3.92
ID2,15.61,31.73,14.60,18.18,21.63,39.27,35.27,20.86,25.06,61.35,46.77,21.88,37.19,34.94,33.33
KIDINS220,44.98,42.08,33.22,40.91,46.26,41.03,40.40,42.03,36.00,44.50,59.68,37.05,35.01,35.24,62.75
MBOAT2,26.77,11.04,10.92,13.64,22.30,11.61,9.58,14.56,5.35,8.00,16.13,10.94,5.78,6.86,33.33
ASAP2,36.80,12.14,13.22,13.64,51.25,12.08,17.93,41.77,14.89,22.34,37.10,19.87,4.31,14.52,17.65
ITGB1BP1,24.16,19.23,15.52,15.91,29.95,24.15,38.13,23.08,16.78,50.60,45.16,19.42,17.76,31.01,52.94
CPSF3,10.04,8.27,6.21,0.00,14.64,12.43,13.52,9.58,12.40,20.01,17.74,7.81,8.75,12.38,17.65
IAH1,10.78,15.80,9.20,22.73,15.97,19.58,17.53,12.65,18.26,24.31,35.48,10.27,16.29,15.20,33.33
ADAM17,41.64,32.38,16.32,4.55,45.92,33.06,25.21,46.85,42.01,35.30,41.94,39.73,29.27,24.37,45.10
AC080162.1,4.09,5.58,0.00,0.00,6.49,4.69,0.08,4.66,5.84,0.00,0.00,3.57,5.32,0.05,0.00
AC073195.1,0.37,0.41,0.69,0.00,0.33,0.59,0.64,0.26,0.36,1.02,0.00,0.45,0.34,0.77,7.84
YWHAQ,58.74,43.05,56.44,50.00,77.37,54.98,90.93,59.45,45.64,97.19,83.87,50.00,41.54,81.20,66.67
AC082651.1,0.00,0.20,0.11,0.00,1.66,0.23,0.64,1.01,0.17,1.55,0.00,0.22,0.17,0.52,0.00
AC082651.3,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.16,0.10,0.06,1.61,0.00,0.08,0.10,1.96
TAF1B,24.91,18.09,6.44,13.64,36.27,22.98,16.06,24.30,17.38,18.28,12.90,17.63,14.78,11.69,13.73
AC010969.2,1.49,2.36,2.87,2.27,5.99,3.63,8.95,2.65,3.03,7.77,6.45,1.12,2.35,5.67,5.88
GRHL1,1.86,1.14,3.91,0.00,4.49,1.17,8.63,4.50,2.95,15.35,17.74,2.46,1.34,9.92,9.80
AC104794.3,1.12,2.20,5.17,0.00,4.16,3.05,5.73,3.02,3.63,7.17,6.45,0.22,1.88,4.92,7.84
KLF11,5.20,4.93,9.77,6.82,10.15,7.62,15.98,8.47,9.88,20.43,24.19,4.91,4.98,14.35,15.69
CYS1,9.67,4.28,9.43,13.64,11.65,7.27,7.32,4.34,0.73,3.70,6.45,4.24,2.55,5.67,7.84
RRM2,1.12,0.49,0.69,0.00,14.48,9.26,14.31,2.33,1.04,4.12,0.00,1.56,1.13,3.21,0.00
HPCAL1,18.96,23.63,3.33,2.27,23.63,27.20,4.57,26.42,30.34,8.30,22.58,31.25,28.02,5.77,45.10
ODC1,9.67,10.31,21.38,22.73,19.63,20.75,34.87,15.56,23.83,47.61,46.77,15.62,13.40,32.58,29.41
ODC1-DT,0.37,0.81,0.80,2.27,0.67,0.70,0.91,0.74,0.63,0.66,1.61,0.00,0.42,0.87,1.96
NOL10,36.80,25.62,7.59,9.09,51.08,32.47,18.97,38.06,28.33,24.49,24.19,35.04,25.08,14.42,25.49
RN7SL832P,3.35,1.75,2.64,9.09,3.00,1.99,1.95,2.17,1.16,2.03,19.35,1.79,0.50,2.39,1.96
ATP6V1C2,1.49,2.04,0.57,2.27,3.00,3.87,3.94,2.86,3.90,5.14,11.29,1.12,1.80,2.91,7.84
AC092687.3,1.12,0.24,0.11,0.00,0.00,0.35,0.52,0.16,0.73,0.66,3.23,0.00,0.08,0.55,0.00
PDIA6,23.42,33.12,56.67,43.18,44.26,43.26,89.90,31.45,39.66,95.34,72.58,20.54,27.72,77.34,60.78
AC062028.1,0.37,0.16,0.00,0.00,0.00,0.35,0.12,0.11,0.05,0.06,1.61,0.00,0.13,0.02,0.00
C2orf50,1.86,0.08,0.34,0.00,1.16,0.23,0.56,0.32,0.17,0.78,0.00,0.00,0.17,0.62,0.00
SLC66A3,8.92,13.52,8.97,13.64,8.82,14.89,18.53,8.36,14.70,24.13,38.71,7.81,12.35,16.04,35.29
ROCK2,65.06,47.86,39.66,34.09,74.38,51.23,62.94,60.56,44.87,69.95,61.29,43.53,36.81,51.73,50.98
LINC00570,0.74,0.16,0.00,2.27,0.67,1.29,0.44,0.11,0.07,0.48,3.23,0.22,0.08,0.50,0.00
AC099344.3,0.74,0.81,0.00,0.00,0.33,0.70,0.32,0.53,1.02,0.06,0.00,0.45,0.54,0.20,0.00
E2F6,10.04,5.58,5.40,0.00,17.47,4.81,10.38,13.08,5.81,11.53,25.81,9.15,3.35,6.96,5.88
GREB1,2.97,2.32,1.38,0.00,4.16,1.06,2.19,3.07,1.55,2.39,0.00,1.56,0.80,2.14,3.92
LPIN1,38.29,28.68,18.97,13.64,48.09,31.18,28.47,37.37,26.66,34.47,32.26,34.38,30.11,25.91,25.49
MIR3681HG,1.49,2.40,0.11,0.00,5.82,5.16,0.12,2.49,4.96,0.06,0.00,2.46,3.35,0.20,1.96
AC009486.2,0.00,0.37,0.00,0.00,1.16,0.47,0.04,1.01,0.51,0.00,0.00,0.45,0.29,0.07,0.00
AC009486.1,0.00,0.08,0.00,0.00,0.33,0.00,0.08,0.00,0.05,0.00,1.61,0.00,0.04,0.00,0.00
TRIB2,16.36,9.37,27.59,13.64,18.14,17.70,25.53,13.87,9.73,35.24,41.94,10.49,10.30,25.67,19.61
AC064875.1,3.35,2.12,4.48,4.55,5.16,3.63,0.80,1.69,1.28,0.24,1.61,2.01,0.54,1.12,0.00
LINC00276,5.20,2.16,0.46,0.00,11.81,4.57,0.44,6.46,2.18,0.54,1.61,3.35,0.92,0.47,0.00
LRATD1,7.06,2.48,8.39,2.27,8.49,3.17,6.84,4.45,1.40,7.05,3.23,3.35,0.59,5.65,0.00
AC068286.2,2.97,2.53,0.00,0.00,8.32,3.87,0.08,6.62,3.32,0.12,0.00,1.79,1.13,0.07,0.00
NBAS,62.08,47.82,24.83,9.09,73.38,56.04,44.14,62.41,51.50,56.75,48.39,49.33,40.91,37.28,35.29
DDX1,20.82,20.41,27.82,29.55,40.60,23.80,53.24,26.84,18.23,66.91,56.45,17.86,15.16,42.97,49.02
AC008278.1,0.37,0.12,0.00,0.00,0.00,0.00,0.04,0.05,0.05,0.00,0.00,0.00,0.00,0.00,1.96
MYCN,0.00,0.12,0.00,0.00,0.50,0.35,0.24,0.42,0.48,0.06,3.23,0.00,0.00,0.15,0.00
GACAT3,0.00,0.20,0.00,0.00,0.00,0.12,0.04,0.11,0.12,0.00,1.61,0.22,0.13,0.00,0.00
AC104623.1,0.00,0.69,0.00,0.00,0.33,0.47,0.00,0.64,1.67,0.00,0.00,0.22,0.21,0.00,0.00
FAM49A,28.25,30.67,4.83,2.27,21.63,21.92,2.54,33.46,47.94,8.00,17.74,20.31,20.81,4.18,1.96
RAD51AP2,1.12,0.04,0.46,0.00,1.00,0.12,0.44,0.42,0.05,0.24,0.00,0.22,0.04,0.42,0.00
VSNL1,0.00,0.61,0.11,0.00,0.17,1.29,0.36,0.32,1.33,0.48,0.00,0.00,0.50,0.45,0.00
SMC6,20.45,18.94,8.51,11.36,27.45,25.32,13.04,24.99,33.00,13.98,40.32,19.42,17.67,8.75,31.37
GEN1,8.55,7.29,3.91,4.55,20.97,14.30,16.22,14.19,17.87,10.22,16.13,7.37,5.90,6.99,21.57
KCNS3,3.72,2.20,0.11,0.00,3.83,0.94,0.08,3.02,1.16,0.54,0.00,5.13,1.76,0.37,5.88
AC079148.3,1.86,0.29,0.00,0.00,0.33,0.00,0.00,0.37,0.15,0.00,0.00,0.45,0.21,0.00,0.00
RDH14,5.58,8.43,8.16,15.91,7.15,8.09,12.49,5.51,8.38,19.30,27.42,3.35,8.21,10.49,19.61
NT5C1B,0.37,0.69,0.00,0.00,0.17,0.59,0.00,0.05,0.51,0.06,0.00,0.22,1.13,0.07,0.00
AC130814.1,0.00,0.33,0.00,0.00,0.50,0.59,0.00,1.01,0.68,0.18,0.00,0.89,0.63,0.02,0.00
LINC01376,16.36,15.03,1.03,0.00,13.98,12.43,0.64,13.98,16.03,0.78,1.61,10.94,10.18,0.52,1.96
OSR1,1.49,0.29,0.46,0.00,0.00,0.00,0.00,0.21,0.05,0.00,0.00,0.00,0.04,0.02,3.92
LINC00954,4.46,5.21,2.30,6.82,1.16,2.93,0.48,1.96,2.76,0.42,3.23,3.12,4.31,1.17,9.80
TTC32,8.18,7.13,8.85,6.82,8.49,7.15,12.52,6.35,6.32,13.62,12.90,4.46,6.62,9.85,7.84
AC013400.1,0.00,0.12,0.11,2.27,0.17,0.23,0.12,0.37,0.07,0.18,3.23,0.00,0.25,0.05,1.96
WDR35,31.60,19.31,20.69,20.45,48.92,27.32,42.58,27.47,9.71,51.55,29.03,18.97,12.31,33.97,21.57
AC079145.1,11.15,8.68,0.92,0.00,38.44,22.27,0.68,17.36,2.06,2.09,11.29,5.36,2.14,0.85,1.96
MATN3,46.84,29.45,98.97,59.09,69.72,39.74,100.00,42.56,24.31,99.82,48.39,30.80,22.70,99.75,37.25
LAPTM4A,44.24,47.78,82.64,86.36,44.09,36.81,94.95,30.17,34.87,96.48,80.65,29.24,31.57,86.55,78.43
LAPTM4A-DT,0.37,0.08,0.34,0.00,0.17,0.00,0.16,0.21,0.05,0.06,1.61,0.22,0.13,0.10,1.96
AC098828.2,1.12,0.12,0.00,0.00,0.67,0.00,0.04,0.11,0.02,0.00,0.00,0.22,0.04,0.00,0.00
SDC1,2.97,6.07,16.55,13.64,10.48,7.15,26.04,6.72,15.81,6.99,6.45,3.35,3.77,12.53,13.73
PUM2,65.43,61.30,40.57,40.91,77.04,66.94,57.38,66.81,65.76,62.13,59.68,61.16,59.17,48.62,56.86
RHOB,27.51,26.27,89.08,75.00,37.94,31.42,93.64,30.02,29.10,96.24,91.94,19.87,17.09,90.60,68.63
AC023137.1,1.86,0.53,0.00,0.00,1.33,0.94,0.00,1.69,0.58,0.00,0.00,1.79,0.13,0.00,0.00
HS1BP3,9.67,9.25,3.33,2.27,6.66,7.15,7.12,9.16,11.04,8.42,20.97,6.03,5.53,6.62,7.84
GDF7,0.37,0.33,0.11,0.00,0.17,0.35,0.00,0.26,1.26,0.24,0.00,0.22,0.38,0.37,0.00
AC012065.4,0.37,0.53,0.46,0.00,0.50,0.47,0.36,0.32,0.75,0.24,1.61,1.12,0.38,0.50,0.00
LDAH,8.92,16.29,1.72,9.09,10.65,18.29,4.21,18.53,23.44,6.09,11.29,14.29,16.29,4.58,13.73
AC018742.1,0.74,0.90,0.00,0.00,4.83,2.11,0.08,3.65,4.43,0.06,3.23,0.45,0.80,0.07,0.00
AC011752.1,0.00,0.04,0.00,0.00,0.17,0.12,0.00,0.32,0.51,0.06,3.23,0.00,0.00,0.00,0.00
AC018467.1,3.72,1.87,0.00,0.00,8.49,6.10,0.52,1.43,0.48,0.12,0.00,1.12,0.46,0.27,0.00
AC012506.4,1.12,0.04,0.00,0.00,0.17,0.12,0.04,0.00,0.00,0.00,0.00,0.22,0.00,0.02,0.00
KLHL29,60.97,28.39,16.55,25.00,61.06,24.03,23.34,38.17,8.91,16.13,12.90,30.58,14.03,18.93,21.57
AC011239.1,1.49,0.61,0.00,0.00,0.83,1.17,0.04,0.37,0.10,0.06,0.00,0.45,0.46,0.02,0.00
AC009242.1,5.58,2.04,0.80,4.55,2.83,2.70,0.60,1.69,2.28,0.96,1.61,2.46,1.51,0.65,0.00
ATAD2B,47.96,41.10,14.83,20.45,58.57,50.88,25.81,54.79,48.21,31.12,35.48,45.98,41.58,23.28,29.41
UBXN2A,34.20,28.27,18.97,25.00,43.43,33.06,32.84,34.41,27.60,38.65,48.39,22.99,21.98,26.09,43.14
MFSD2B,3.72,2.97,0.46,0.00,2.66,6.57,0.24,2.96,3.05,0.30,0.00,1.34,2.39,0.15,1.96
WDCP,1.86,2.32,2.18,0.00,4.49,4.10,3.94,4.55,2.20,7.59,9.68,2.23,3.02,3.43,9.80
FKBP1B,0.37,0.61,1.61,2.27,0.83,1.64,2.35,0.32,0.73,4.30,11.29,0.00,0.42,3.43,1.96
SF3B6,6.32,19.76,39.43,38.64,13.48,27.78,69.86,8.68,19.85,83.21,79.03,6.70,18.68,54.22,64.71
FAM228B,28.62,23.67,10.23,6.82,32.61,22.86,11.85,26.15,21.07,12.25,29.03,20.98,18.05,10.57,25.49
TP53I3,6.32,6.97,5.29,9.09,3.33,4.57,10.06,5.56,2.98,25.21,33.87,2.23,2.43,15.24,19.61
PFN4,1.12,1.26,1.15,2.27,1.00,0.94,0.91,0.64,0.75,1.55,4.84,0.67,0.84,1.69,1.96
FAM228A,1.86,1.26,1.26,0.00,2.00,1.99,1.07,1.75,1.43,1.79,4.84,1.56,0.92,1.07,1.96
ITSN2,52.04,58.90,20.00,18.18,51.41,60.73,20.36,59.03,70.36,24.97,48.39,50.22,59.80,19.00,45.10
AC009228.1,1.12,2.40,0.80,0.00,1.00,3.17,0.76,1.64,4.29,1.14,0.00,1.34,2.35,0.57,0.00
NCOA1,74.35,71.89,30.34,38.64,83.19,71.16,23.18,71.84,69.01,27.06,53.23,60.71,67.21,22.71,45.10
PTRHD1,2.23,8.35,25.06,11.36,6.32,17.47,46.52,3.71,9.66,56.99,41.94,1.12,7.29,34.59,27.45
CENPO,5.95,5.09,2.99,0.00,19.30,9.50,11.45,6.62,4.16,7.41,9.68,3.12,3.06,5.20,9.80
ADCY3,32.34,27.45,65.40,38.64,52.25,32.47,53.80,32.61,17.70,59.20,53.23,17.86,13.32,45.71,27.45
AC012073.1,0.00,0.16,0.11,0.00,0.17,0.59,1.91,0.16,0.17,1.14,0.00,0.00,0.04,0.67,0.00
DNAJC27,17.84,11.28,15.17,4.55,20.30,13.95,16.94,13.39,8.89,21.92,24.19,9.82,8.88,16.59,7.84
DNAJC27-AS1,8.55,5.70,5.98,2.27,6.99,4.10,2.54,6.03,3.75,4.96,6.45,2.90,3.85,3.71,9.80
EFR3B,18.96,4.85,8.51,2.27,40.77,7.62,9.46,15.88,2.52,3.58,0.00,7.59,1.34,4.45,0.00
POMC,1.12,2.89,7.24,2.27,1.83,6.92,14.27,1.48,5.71,17.80,12.90,0.67,3.35,11.94,3.92
LINC01381,0.37,0.12,0.11,4.55,0.17,0.12,0.04,0.05,0.07,0.06,0.00,0.22,0.08,0.02,0.00
DNMT3A,42.38,27.49,12.87,15.91,41.93,26.26,12.80,37.32,27.99,17.50,30.65,29.91,26.01,12.78,39.22
AC012074.1,1.12,1.02,0.11,0.00,1.33,0.70,0.12,1.69,0.82,0.06,0.00,0.67,1.47,0.05,0.00
DTNB,30.48,37.84,3.10,0.00,37.60,30.95,4.61,30.97,35.86,2.51,11.29,24.78,30.65,2.91,7.84
AC104699.1,0.74,1.22,0.00,0.00,0.17,0.59,0.00,0.64,3.66,0.00,0.00,0.00,0.71,0.00,0.00
ASXL2,32.34,38.13,12.18,15.91,46.76,46.07,20.52,43.25,49.88,25.51,33.87,36.61,42.76,17.43,25.49
KIF3C,2.60,2.85,3.33,6.82,7.99,2.70,5.45,4.50,2.57,5.20,8.06,3.12,2.05,3.58,9.80
RAB10,55.39,49.04,25.40,34.09,70.55,53.22,43.10,61.36,55.06,55.02,59.68,49.78,44.18,36.33,39.22
GAREM2,1.86,1.22,2.41,4.55,2.00,1.88,2.78,0.74,1.57,2.33,3.23,0.67,0.96,2.26,5.88
HADHA,27.14,29.16,42.99,29.55,35.94,36.46,57.97,25.41,32.40,69.30,58.06,20.76,26.05,46.28,58.82
HADHB,23.42,24.11,20.92,11.36,31.11,23.68,31.49,27.16,24.53,36.98,54.84,18.97,19.97,24.79,45.10
AC010896.1,1.12,1.67,0.69,0.00,1.66,1.29,0.60,1.64,1.89,0.24,3.23,1.56,0.96,0.55,1.96
ADGRF3,5.95,4.44,0.34,0.00,9.98,10.43,0.72,6.88,5.98,0.48,3.23,5.36,6.62,0.57,0.00
SELENOI,20.07,18.70,7.36,6.82,41.10,28.25,24.85,29.17,22.83,30.05,30.65,17.63,19.60,17.66,19.61
DRC1,1.12,0.37,0.00,0.00,4.66,0.70,0.04,2.17,0.44,0.06,0.00,1.12,0.13,0.07,0.00
OTOF,0.37,0.33,0.23,0.00,0.33,0.59,0.00,0.48,0.31,0.06,1.61,0.22,0.29,0.02,0.00
KCNK3,0.00,0.12,0.00,0.00,1.00,0.35,0.08,2.22,1.02,0.06,6.45,0.67,0.08,0.17,0.00
SLC35F6,6.69,5.66,10.00,2.27,6.16,5.39,15.15,3.97,6.15,20.67,24.19,4.24,3.60,12.48,21.57
CENPA,2.97,3.75,0.23,0.00,5.66,7.62,3.62,3.44,3.92,0.30,0.00,1.79,1.93,0.55,0.00
MAPRE3,7.81,4.85,11.03,9.09,16.81,5.39,15.86,10.06,4.50,24.97,12.90,5.58,3.22,13.26,13.73
AC013472.1,0.00,0.37,0.00,0.00,0.33,0.23,0.00,0.42,0.17,0.00,1.61,0.00,0.17,0.05,0.00
TMEM214,10.41,9.41,32.76,27.27,17.14,14.19,54.91,11.38,12.66,67.80,51.61,7.81,7.45,43.92,35.29
AGBL5,7.81,11.04,7.82,2.27,17.14,14.07,12.56,9.26,10.92,12.19,16.13,5.80,10.64,8.31,5.88
AC013472.3,0.74,0.16,0.34,0.00,0.33,0.35,0.76,0.32,0.29,0.66,0.00,0.89,0.08,0.60,1.96
AC013403.2,1.49,0.41,0.46,0.00,1.16,0.47,0.68,1.06,0.39,0.66,1.61,0.45,0.29,0.55,0.00
OST4,7.43,40.08,63.56,45.45,17.80,55.10,92.21,13.50,45.86,95.70,77.42,11.16,45.10,80.08,80.39
EMILIN1,17.10,23.14,52.18,38.64,15.81,15.71,45.73,7.83,3.58,33.21,22.58,16.07,9.67,36.48,64.71
KHK,2.23,1.06,0.57,0.00,0.50,1.29,0.40,0.85,2.35,0.18,1.61,3.12,1.01,0.40,1.96
CGREF1,1.12,1.63,12.07,9.09,6.99,3.75,43.34,4.61,1.62,53.05,22.58,6.70,2.26,27.38,39.22
ABHD1,0.37,0.77,1.49,2.27,0.17,0.47,0.64,0.26,1.09,0.24,4.84,0.00,0.63,0.72,0.00
PREB,2.97,6.48,8.62,6.82,5.66,8.56,21.23,5.08,13.97,31.54,14.52,2.46,5.40,17.63,25.49
TCF23,0.00,0.00,0.00,0.00,0.17,0.00,0.12,0.16,0.07,0.06,1.61,0.00,0.04,0.05,1.96
SLC5A6,1.12,1.91,3.45,2.27,2.00,3.05,8.63,2.54,3.39,9.74,4.84,1.79,1.68,5.77,3.92
ATRAID,6.32,17.11,35.98,38.64,10.15,22.63,56.70,6.46,18.14,65.65,54.84,5.36,14.70,44.39,43.14
CAD,8.92,6.44,12.99,11.36,16.47,10.90,23.66,9.00,7.09,25.81,11.29,4.24,4.65,15.37,13.73
UCN,0.00,0.98,0.92,2.27,0.50,1.52,1.31,0.64,0.77,1.19,1.61,0.45,0.75,1.54,5.88
MPV17,10.41,8.68,12.30,20.45,17.47,12.08,22.11,11.96,9.88,30.41,29.03,7.81,7.12,18.20,29.41
GTF3C2,12.64,14.26,7.70,4.55,22.46,14.07,17.22,17.79,15.93,21.62,29.03,12.50,11.26,13.90,27.45
GTF3C2-AS1,0.00,0.16,0.00,0.00,0.17,0.59,0.04,0.21,0.36,0.00,0.00,0.00,0.25,0.05,1.96
AC074117.1,4.83,3.42,1.49,4.55,3.83,3.17,2.03,3.44,2.95,2.33,3.23,2.23,2.43,1.37,5.88
EIF2B4,7.06,8.92,11.15,9.09,9.48,9.03,17.34,7.41,9.03,23.84,27.42,6.25,7.04,14.18,23.53
SNX17,5.95,16.82,30.69,27.27,13.48,21.92,56.34,8.10,17.63,68.82,61.29,4.69,15.58,46.46,54.90
ZNF513,0.74,3.34,3.22,2.27,2.66,4.57,6.96,1.75,4.67,8.90,9.68,1.12,3.31,5.65,11.76
PPM1G,11.90,17.88,19.89,13.64,27.45,28.02,42.62,16.46,22.37,52.21,48.39,14.51,20.23,30.22,37.25
NRBP1,15.61,19.35,24.94,20.45,29.12,27.20,43.14,18.63,20.36,49.16,48.39,16.07,20.31,34.47,45.10
KRTCAP3,0.74,1.38,3.10,2.27,2.16,1.88,5.88,0.95,2.01,4.84,1.61,0.45,1.26,3.31,3.92
IFT172,18.59,12.91,7.59,6.82,23.96,14.89,10.74,20.33,9.88,13.68,12.90,15.62,10.30,8.58,19.61
FNDC4,4.83,1.67,8.05,4.55,3.16,0.70,4.57,2.06,0.31,5.56,11.29,3.12,1.17,4.75,13.73
GCKR,0.74,0.20,0.11,0.00,2.83,0.12,0.08,1.64,0.12,0.18,1.61,0.67,0.25,0.10,1.96
C2orf16,0.37,0.29,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.00,1.61,0.00,0.13,0.02,0.00
ZNF512,14.87,15.07,8.62,4.55,20.30,16.30,12.80,16.89,14.79,14.46,41.94,14.29,16.21,10.47,17.65
CCDC121,1.49,1.79,3.45,0.00,1.66,2.46,4.77,1.80,1.96,7.23,8.06,1.12,1.34,4.60,7.84
GPN1,7.06,9.82,6.78,6.82,13.98,11.96,11.77,9.48,9.23,16.61,14.52,8.04,11.85,9.55,13.73
SUPT7L,7.81,9.78,9.54,6.82,12.48,10.79,16.58,10.01,9.56,21.68,27.42,6.70,10.18,15.00,43.14
SLC4A1AP,14.13,11.16,10.57,13.64,15.97,14.89,18.25,12.60,11.57,24.43,22.58,11.16,10.26,16.21,23.53
LINC01460,0.00,0.24,0.00,0.00,0.17,0.47,0.04,0.16,0.07,0.06,3.23,0.00,0.08,0.15,1.96
MRPL33,21.19,21.38,29.08,29.55,28.95,28.60,55.27,19.80,21.36,72.34,74.19,12.72,21.15,45.93,54.90
RBKS,15.61,22.81,2.07,2.27,21.13,27.55,4.41,18.37,27.31,10.16,17.74,13.39,20.90,6.17,3.92
BABAM2,60.59,56.09,7.59,2.27,71.88,62.49,11.33,64.69,61.60,18.82,22.58,59.38,54.40,11.59,19.61
AC093690.1,0.37,2.36,1.26,2.27,1.00,3.40,0.91,1.16,2.57,1.91,6.45,0.45,2.72,1.12,3.92
AC104695.2,9.29,6.88,0.23,0.00,7.49,6.92,0.08,8.21,7.36,0.42,1.61,8.48,8.08,0.17,1.96
FOSL2,44.61,29.94,26.32,20.45,50.25,36.81,36.82,43.83,27.43,52.45,62.90,52.68,33.29,40.41,70.59
AC104695.4,12.27,7.62,17.24,6.82,9.15,8.56,11.13,9.95,9.23,20.43,30.65,11.83,9.17,14.60,35.29
AC104695.3,8.18,2.69,1.61,0.00,6.99,3.75,1.99,8.21,3.68,3.58,6.45,7.59,3.69,2.29,7.84
PLB1,10.04,9.37,2.07,6.82,6.99,5.98,1.59,8.73,9.06,1.67,1.61,6.92,6.99,0.99,5.88
AC074011.1,0.74,1.30,0.00,0.00,1.83,0.82,0.08,1.59,1.02,0.00,0.00,1.79,1.17,0.02,0.00
AC092164.1,8.92,9.82,3.68,13.64,8.99,5.86,4.21,11.12,6.83,3.52,11.29,7.59,4.69,3.71,7.84
PPP1CB,68.03,60.49,74.37,90.91,72.88,65.53,91.61,60.93,53.39,95.82,85.48,56.70,58.75,82.37,86.27
SPDYA,37.17,24.60,5.52,9.09,39.27,29.31,10.02,30.55,24.09,10.57,6.45,31.92,22.36,8.26,11.76
TRMT61B,17.10,9.00,4.94,4.55,17.14,11.37,10.26,11.91,8.35,14.16,16.13,9.38,7.71,7.98,11.76
WDR43,30.48,20.86,14.37,20.45,49.08,27.20,31.81,35.47,22.08,39.13,46.77,28.35,19.35,23.25,35.29
TOGARAM2,2.60,6.44,1.49,0.00,5.49,11.02,0.32,2.17,3.83,0.24,0.00,4.46,9.09,0.32,0.00
PCARE,0.00,0.12,0.00,0.00,0.17,0.12,0.08,0.05,0.12,0.00,0.00,0.00,0.21,0.10,3.92
